State,Median Income,Medicare spending per patient,Skilled Nursing Facility,Weighted Efficiency Domain Score,spending
CA,376.6902564,0.607654475,2.94308498,1.557801878,medium
CA,514.7985898,0.575672661,1.445954492,2.336702817,medium
CA,791.4652564,0.562879935,2.619280499,3.115603755,medium
CA,320.5319231,0.543690846,1.834892058,3.505054225,low
CA,239.8319231,0.582069024,2.056344548,2.434065434,medium
CA,787.7319231,0.601258112,1.838613949,1.168351408,medium
CA,345.2485898,0.543690846,3.192451649,3.894504694,low
CA,444.6152564,0.690807193,5.867560507,0,medium
CA,432.2319231,0.556483572,2.311294053,2.781789067,medium
CA,546.9569231,0.588465387,2.617419554,2.225431254,medium
CA,385.9680787,0.626843564,3.159885106,0.389450469,medium
CA,440.4902564,0.633239927,2.529955125,0.389450469,medium
CA,431.3652564,0.594861749,3.205478266,1.168351408,medium
CA,385.9680787,0.626843564,1.726026759,0.389450469,medium
CA,292.7569231,0.646032653,2.359678631,0,medium
CA,706.6819231,0.607654475,3.110570056,1.168351408,medium
CA,385.3069231,0.614050838,2.605323409,0.778900939,medium
CA,337.1485898,0.837923539,3.892167079,0,high
CA,174.6319231,0.63963629,3.337605382,0,medium
CA,754.3569231,0.68441083,4.957558259,0,medium
CA,350.2985898,0.658825378,2.907727019,0.389450469,medium
CA,645.2735898,0.665221741,4.426258378,0,medium
CA,671.6735898,0.633239927,2.361539576,1.557801878,medium
CA,395.4485898,0.626843564,3.045436971,0.778900939,medium
CA,505.3569231,0.607654475,3.478106751,1.168351408,medium
CA,222.4485898,0.658825378,3.067768314,0,medium
CA,724.0735898,0.646032653,3.441818318,0.389450469,medium
CA,234.5819231,0.626843564,3.240836227,0,medium
CA,689.9069231,0.498916306,3.078003513,3.894504694,low
CA,677.0902564,0.601258112,3.019383737,0.389450469,medium
CA,646.5735898,0.48612358,1.771619918,3.894504694,low
CA,487.9402564,0.601258112,2.973790577,1.557801878,medium
CA,529.7235898,0.646032653,2.795139829,0,medium
CA,478.8069231,0.607654475,2.764434232,0.778900939,medium
CA,606.5069231,0.77395991,5.212507764,0,high
CA,446.5569231,0.582069024,2.913309855,2.225431254,medium
CA,391.2569231,0.626843564,3.811215959,0.389450469,medium
CA,440.6735898,0.588465387,3.026827518,2.781789067,medium
CA,423.2819231,0.575672661,4.229928649,1.557801878,medium
CA,507.4569231,0.741978096,0.489428612,0.602647723,medium
CA,759.9235898,0.63963629,2.208942062,0,medium
CA,761.4235898,0.697203556,4.080122553,0,medium
CA,869.2069231,0.550087209,3.607442449,0.602647723,medium
CA,520.3902564,0.620447201,2.782113212,0.389450469,medium
CA,495.0485898,0.550087209,1.760454247,1.557801878,medium
CA,773.9485898,0.626843564,2.916101273,0.389450469,medium
CA,406.4652564,0.671618104,3.760039963,0,medium
