hospitalID,expenditure,efficiency
854,19557,0.004867822
855,20144,0.004845115
856,19586,0.004835086
857,22210,0.0043629
858,19586,0.004835086
859,22210,0.0043629
860,19971,0.004992239
861,18329,0.005248513
862,20344,0.004748329
863,18329,0.005248513
864,20344,0.004748329
865,18329,0.005248513
866,20344,0.004748329
867,17056,0.005839587
868,15271,0.005821492
869,19402,0.005154108
870,16814,0.005917688
871,18249,0.005408516
872,20166,0.004919171
873,17078,0.005199672
874,18260,0.005345016
875,16975,0.005832106
876,15844,0.005983338
877,18348,0.004948768
878,20548,0.004594121
879,20886,0.004644259
880,19426,0.004931535
881,20548,0.004594121
882,20886,0.004644259
883,19426,0.004931535
884,20548,0.004594121
885,20886,0.004644259
886,19426,0.004931535
887,20852,0.004704585
888,17686,0.005416714
889,16369,0.005876963
890,17740,0.005405862
891,14542,0.006580938
892,17560,0.005529613
893,19030,0.005207567
894,21188,0.004667736
895,21005,0.004356106
896,18234,0.005160689
897,16841,0.005926014
898,16004,0.006204699
899,17762,0.005483617
900,20183,0.00494971
901,15503,0.006385861
902,18305,0.005452062
903,15882,0.006107543
904,15891,0.006280284
905,17761,0.005590901
906,17171,0.005602469
907,17761,0.005590901
908,17171,0.005602469
909,12227,0.008055942
910,18686,0.005335545
911,15170,0.006328279
912,16445,0.005643053
913,12793,0.007144532
914,19147,0.005139186
915,18396,0.005305501
916,19147,0.005139186
917,18396,0.005305501
918,19008,0.005061027
919,14939,0.005823683
920,18918,0.004989957
921,18332,0.005405848
922,17720,0.005332957
923,17747,0.005381191
924,18670,0.005190145
925,16648,0.005688371
926,16475,0.005960546
927,17575,0.005450925
928,16742,0.005746028
929,17140,0.005653442
930,17341,0.00571478
931,19836,0.00497076
932,15093,0.006413569
933,17405,0.005458202
934,15788,0.00618191
935,19544,0.00496316
936,18477,0.005406722
937,18824,0.005168933
938,21430,0.004531031
939,21070,0.004665401
940,20527,0.004827788
941,20473,0.004708641
942,16605,0.005974104
943,16353,0.00606005
944,16294,0.006106542
945,15798,0.006247626
946,16516,0.005891257
947,19604,0.004937768
948,14726,0.006661687
949,17407,0.005601195
950,19604,0.005060192
951,22562,0.004166297
952,21614,0.004520218
953,18919,0.005063693
954,19044,0.005093468
955,18919,0.005063693
956,19044,0.005093468
957,18692,0.005258934
958,17120,0.005648364
959,15815,0.006044894
960,14402,0.005783919
961,17834,0.005422227
962,16869,0.005744265
963,20419,0.004779862
964,17360,0.005691244
965,19674,0.005047271
966,18804,0.005174431
967,19786,0.004846861
968,19499,0.005061798
969,21224,0.004593856
970,20230,0.004804745
971,20076,0.004791791
972,19639,0.005030806
973,19942,0.004949353
974,19976,0.004895875
975,20214,0.004902543
976,19846,0.004958178
977,18408,0.00531834
978,19846,0.004958178
979,18408,0.00531834
980,20216,0.004862485
981,18884,0.005216056
982,19931,0.004921981
983,18840,0.005191083
984,20116,0.004916484
985,19025,0.005072273
986,17197,0.005628889
987,19244,0.005144461
988,19495,0.0050218
989,18378,0.005207313
990,18682,0.005277808
991,20380,0.004774289
992,18964,0.005204598
993,21056,0.004597264
994,18387,0.005275466
995,18387,0.005275466
996,22231,0.004255319
997,18963,0.00523124
998,21030,0.004526866
999,17044,0.005855433
1000,16244,0.006032997
1001,21080,0.004596774
1002,21269,0.00467817
1003,16372,0.005918642
1004,17641,0.004914687
1005,16921,0.005815259
1006,19374,0.005125426
1007,14563,0.006523381
1008,19585,0.004825121
1009,21166,0.004672588
1010,17441,0.005659079
1011,18428,0.005323421
1012,16688,0.005746644
1013,19916,0.004895561
1014,16466,0.005951658
1015,17774,0.005226736
1016,17379,0.005489384
1017,19720,0.004863083
1018,22107,0.004460126
1019,21581,0.004541031
1020,22107,0.004460126
1021,21581,0.004541031
1022,20868,0.004700978
1023,19611,0.004900311
1024,20423,0.004798511
1025,18885,0.005236961
1026,16686,0.00568141
1027,18382,0.005353063
1028,18067,0.005335695
1029,17568,0.005606785
1030,19195,0.005074238
1031,21211,0.00466739
1032,21390,0.004642356
1033,21636,0.004538732
1034,18499,0.005308395
1035,19883,0.004747774
1036,18641,0.005310874
1037,18338,0.005207765
1038,19713,0.005001775
1039,19713,0.005001775
1040,17308,0.005696788
1041,18724,0.005196539
1042,18916,0.005127934
1043,20203,0.004860664
1044,20203,0.004860664
1045,18503,0.005382911
1046,14806,0.006477104
1047,16918,0.005503015
1048,18840,0.005249469
1049,18902,0.005142313
1050,19586,0.004988257
1051,19159,0.005104651
1052,19586,0.004988257
1053,19159,0.005104651
1054,15352,0.006220688
1055,20350,0.004776413
1056,17755,0.005485779
1057,18314,0.005329256
1058,18721,0.005111906
1059,19117,0.005210022
1060,17502,0.005650783
1061,22830,0.004253176
1062,17073,0.005628771
1063,19476,0.005021565
1064,19733,0.004885218
1065,20982,0.004708798
1066,17643,0.00539024
1067,20239,0.004733435
1068,20239,0.004733435
1069,21400,0.004556075
1070,18418,0.005310023
1071,18418,0.005310023
1072,20284,0.004890554
1073,20235,0.004907339
1074,20964,0.004612669
1075,16474,0.005875926
1076,20762,0.004710529
1077,16474,0.005875926
1078,20762,0.004710529
1079,19383,0.005148842
1080,18205,0.005394122
1081,17656,0.00562415
1082,19846,0.004958178
1083,20639,0.004685305
1084,19203,0.005139822
1085,18550,0.005336927
1086,19474,0.005047756
1087,19474,0.005047756
1088,18217,0.005461931
1089,15834,0.006271315
1090,19212,0.005121799
1091,14198,0.007029159
1092,14436,0.006913272
1093,14291,0.006927437
1094,15092,0.006480254
1095,17965,0.005432786
1096,21151,0.004638079
1097,21151,0.004638079
1098,16405,0.006089607
1099,19453,0.005017221
1100,19453,0.005017221
1101,19288,0.004987557
1102,17166,0.005720611
1103,18327,0.005309107
1104,18186,0.005168811
1105,18727,0.005206387
1106,20417,0.004652985
1107,17398,0.005621336
1108,15863,0.006007691
1109,17835,0.005562097
1110,19509,0.005048952
1111,14829,0.006574954
1112,17688,0.005563094
1113,20248,0.004830107
1114,20154,0.0049221
1115,20154,0.0049221
1116,19100,0.00465445
1117,18499,0.005178658
1118,19426,0.004936683
1119,19127,0.005191614
1120,19409,0.00501829
1121,20252,0.00478965
1122,21046,0.004599449
1123,20252,0.00478965
1124,21046,0.004599449
1125,14519,0.006398512
1126,20397,0.004775212
1127,19380,0.0049742
1128,17496,0.005509831
1129,18651,0.005093561
1130,17551,0.005538146
1131,18651,0.005093561
1132,17551,0.005538146
1133,20696,0.004788365
1134,19495,0.005078225
1135,19495,0.005078225
1136,18571,0.005368585
1137,20052,0.004907241
1138,17695,0.005600452
1139,20873,0.004594452
1140,19690,0.004951752
1141,18744,0.005174989
1142,17502,0.005627928
1143,17815,0.00541117
1144,18316,0.005372352
1145,18059,0.005293759
1146,20138,0.004851524
1147,20668,0.004760983
1148,20138,0.004851524
1149,20668,0.004760983
1150,20138,0.004851524
1151,20668,0.004760983
1152,20172,0.004684711
1153,18584,0.005348687
1154,21038,0.004643978
1155,20467,0.004832169
1156,19342,0.005087375
1157,19084,0.004977992
1158,19649,0.005007888
1159,20140,0.004955313
1160,20140,0.004955313
1161,18539,0.005183667
1162,17376,0.005657228
1163,17020,0.005746181
1164,20624,0.00447052
1165,17304,0.005628756
1166,18335,0.005012272
1167,19998,0.004910491
1168,20044,0.004694672
1169,18974,0.00513334
1170,15329,0.005792941
1171,20012,0.004822107
1172,17132,0.005381742
1173,17722,0.005546778
1174,15584,0.006224333
1175,15419,0.006252027
1176,16863,0.00580561
1177,16304,0.005888126
1178,17755,0.005153478
1179,18021,0.00531602
1180,19505,0.004967957
1181,18412,0.005355203
1182,14336,0.006835938
1183,19006,0.005166789
1184,15047,0.00650628
1185,16341,0.006040022
1186,18320,0.005338428
1187,14358,0.006588661
1188,17928,0.005471888
1189,16262,0.005903333
1190,15254,0.006306543
1191,16769,0.00579641
1192,15438,0.006347973
1193,17960,0.005378619
1194,17579,0.005682917
1195,15224,0.006332107
1196,19789,0.004830967
1197,21062,0.004572215
1198,15369,0.006422018
1199,19239,0.005130204
1200,20459,0.00478518
1201,19239,0.005130204
1202,20459,0.00478518
1203,19268,0.005112103
1204,15426,0.006281602
1205,18610,0.005314347
1206,18312,0.005182394
1207,16017,0.006024849
1208,14833,0.006681049
1209,19036,0.005106115
1210,15140,0.006056803
1211,17107,0.005664348
1212,22046,0.004318244
1213,18818,0.005287491
1214,14431,0.006811725
1215,15104,0.00650821
1216,14203,0.006745054
1217,19756,0.004889654
1218,19573,0.004971134
1219,11326,0.007672612
1220,19573,0.004971134
1221,11326,0.007672612
1222,15771,0.006099803
1223,17727,0.005432391
1224,16907,0.005743183
